date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:53	184731/184731	---M-Z	200	added ('OK')	text/html	etag:%222d19b-5f6898d0dc805-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/index.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/index.html	(from )
10:47:54	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5afe3c4199080%22	https://themesbrand.com/robots.txt		(from )
10:47:54	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5f63aa0f973fd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/favicon.ico	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/favicon.ico	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:54	692/692	---M-Z	200	added ('OK')	text/css	etag:%222b4-5f63aa0fadb5d-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:54	634918/634918	---MCZ	200	added ('OK')	text/css	etag:%229b026-5f6898d0cce03-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/css/icons.css	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/css/icons.css	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:55	1268/1268	---M--	200	added ('OK')	image/svg+xml	etag:%224f4-5f63aa0f973fd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/logo-sm.svg	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/logo-sm.svg	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:55	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-5f63aa0f973fd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/flags/us.jpg	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/flags/us.jpg	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:55	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-5f63aa0f973fd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/flags/spain.jpg	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/flags/spain.jpg	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:55	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-5f63aa0f973fd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/flags/germany.jpg	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/flags/germany.jpg	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:56	293625/293625	---M-Z	200	added ('OK')	text/css	etag:%2247af9-5f6898d0cdda4-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/css/tailwind.css	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/css/tailwind.css	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:56	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-5f63aa0f973fd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/flags/italy.jpg	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/flags/italy.jpg	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
